Country Grouping,,Machine Line,,Artificial machine line,Primary Source,Secondary source NOT IN USE,CRP source,"Change
Indicator",delete,"Motor graders we have TM for, Backhoe Loaders we do not have TM for"
GIE,Ireland,360,GPE Wheel Loaders,WLO,OHR,,CEE,,,
GIE,Ireland,380,Motor Graders,Motor Graders,OHR,,CEE,,,
GIE,Ireland,390,Compaction Machines,Compaction Machines,,,,,,
GIE,Ireland,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GIT,Italy,300,Compact Excavators,CEX,OHR,,CEE,,,
GIT,Italy,310,GPE Crawler Excavators,GEC,OHR,,CEE,,,
GIT,Italy,320,GPE Wheel Excavators,GEW,OHR,,CEE,,,
GIT,Italy,330,Articulated Haulers,Articulated Haulers,OHR,,CEE,,,
GIT,Italy,340,Rigid Haulers,Rigid Haulers,OHR,,CEE,,,
GIT,Italy,350,Compact Wheel Loaders,350,OHR,,CEE,,,
GIT,Italy,360,GPE Wheel Loaders,WLO,OHR,,CEE,,,
GIT,Italy,380,Motor Graders,Motor Graders,OHR,,CEE,,,
GIT,Italy,390,Compaction Machines,Compaction Machines,ORR,,,,,
GIT,Italy,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GJP,Japan,330,Articulated Haulers,Articulated Haulers,OHR,OHR,HVE,,,
GJP,Japan,410,Backhoe Loaders,Backhoe Loaders,OHR,OHR,,,,
GJP,Japan,300,Compact Excavators,CEX,OHR,,HVE,,,
GJP,Japan,350,Compact Wheel Loaders,350,OHR,,HVE,,,
GJP,Japan,390,Compaction Machines,Compaction Machines,DES,,,,,
GJP,Japan,310,GPE Crawler Excavators,GEC,OHR,,HVE,,,
GJP,Japan,320,GPE Wheel Excavators,GEW,OHR,OHR,HVE,,,
GJP,Japan,360,GPE Wheel Loaders,WLO,OHR,,HVE,,,
GJP,Japan,380,Motor Graders,Motor Graders,OHR,,HVE,,,
GJP,Japan,340,Rigid Haulers,Rigid Haulers,OHR,,HVE,,,
GLA,Lao,300,Compact Excavators,CEX,DES,,HVE,,,
GLA,Lao,310,GPE Crawler Excavators,GEC,DES,,HVE,,,
GLA,Lao,320,GPE Wheel Excavators,GEW,DES,,HVE,,,
GLA,Lao,330,Articulated Haulers,Articulated Haulers,DES,,HVE,,,
GLA,Lao,350,Compact Wheel Loaders,350,DES,,HVE,,,
GLA,Lao,360,GPE Wheel Loaders,WLO,DES,,HVE,,,
GLA,Lao,380,Motor Graders,Motor Graders,DES,,HVE,,,
GLA,Lao,410,Backhoe Loaders,Backhoe Loaders,DES,,,,,
GLA,Lao,340,Rigid Haulers,Rigid Haulers,DES,,HVE,,,
GLA,Lao,390,Compaction Machines,Compaction Machines,,,,,,
GMY,Malaysia,330,Articulated Haulers,Articulated Haulers,DES,,HVE,,,
GMY,Malaysia,410,Backhoe Loaders,Backhoe Loaders,DES,,,,,
GMY,Malaysia,300,Compact Excavators,CEX,DES,,HVE,,,
GMY,Malaysia,350,Compact Wheel Loaders,350,DES,,HVE,,,
GMY,Malaysia,310,GPE Crawler Excavators,GEC,DES,,HVE,,,
GMY,Malaysia,320,GPE Wheel Excavators,GEW,DES,,HVE,,,
GMY,Malaysia,360,GPE Wheel Loaders,WLO,DES,,HVE,,,
GMY,Malaysia,380,Motor Graders,Motor Graders,DES,,HVE,,,
GMY,Malaysia,390,Compaction Machines,Compaction Machines,DES,,,,,
GMY,Malaysia,340,Rigid Haulers,Rigid Haulers,DES,,HVE,,,
GMX,Mexico,300,Compact Excavators,CEX,PIN,,HVE,,,
GMX,Mexico,310,GPE Crawler Excavators,GEC,PIN,,HVE,,,
GMX,Mexico,320,GPE Wheel Excavators,GEW,PIN,,HVE,,,
GMX,Mexico,330,Articulated Haulers,Articulated Haulers,PIN,,HVE,,,
GMX,Mexico,340,Rigid Haulers,Rigid Haulers,PIN,,HVE,,,
GMX,Mexico,350,Compact Wheel Loaders,350,PIN,,HVE,,,
GMX,Mexico,360,GPE Wheel Loaders,WLO,PIN,,HVE,,,
GMX,Mexico,380,Motor Graders,Motor Graders,PIN,,HVE,,,
GMX,Mexico,390,Compaction Machines,Compaction Machines,PIN,,,,,
GMX,Mexico,410,Backhoe Loaders,Backhoe Loaders,PIN,,,,,
GMM,Myanmar,330,Articulated Haulers,Articulated Haulers,DES,,HVE,,,
GMM,Myanmar,410,Backhoe Loaders,Backhoe Loaders,DES,,,,,
GMM,Myanmar,300,Compact Excavators,CEX,DES,,HVE,,,
