country_grouping,country_name,machine_line_code,machine_line_name,primary_source,secondary_source,crp_source,change_indicator
GJP,Japan,360,GPE Wheel Loaders,OHR,,HVE,
GJP,Japan,380,Motor Graders,OHR,,HVE,
GJP,Japan,340,Rigid Haulers,OHR,,HVE,
GLA,Lao,300,Compact Excavators,DES,,HVE,
GLA,Lao,310,GPE Crawler Excavators,DES,,HVE,
GLA,Lao,320,GPE Wheel Excavators,DES,,HVE,
GLA,Lao,330,Articulated Haulers,DES,,HVE,
GLA,Lao,350,Compact Wheel Loaders,DES,,HVE,
GLA,Lao,360,GPE Wheel Loaders,DES,,HVE,
GLA,Lao,380,Motor Graders,DES,,HVE,
GLA,Lao,410,Backhoe Loaders,DES,,,
GLA,Lao,340,Rigid Haulers,DES,,HVE,
GLA,Lao,390,Compaction Machines,,,,
GMY,Malaysia,330,Articulated Haulers,DES,,HVE,
GMY,Malaysia,410,Backhoe Loaders,DES,,,
GMY,Malaysia,300,Compact Excavators,DES,,HVE,
GMY,Malaysia,350,Compact Wheel Loaders,DES,,HVE,
GMY,Malaysia,310,GPE Crawler Excavators,DES,,HVE,
GMY,Malaysia,320,GPE Wheel Excavators,DES,,HVE,
GMY,Malaysia,360,GPE Wheel Loaders,DES,,HVE,
GMY,Malaysia,380,Motor Graders,DES,,HVE,
GMY,Malaysia,390,Compaction Machines,DES,,,
GMY,Malaysia,340,Rigid Haulers,DES,,HVE,
GMX,Mexico,300,Compact Excavators,PIN,,HVE,
GMX,Mexico,310,GPE Crawler Excavators,PIN,,HVE,
GMX,Mexico,320,GPE Wheel Excavators,PIN,,HVE,
GMX,Mexico,330,Articulated Haulers,PIN,,HVE,
GMX,Mexico,340,Rigid Haulers,PIN,,HVE,
GMX,Mexico,350,Compact Wheel Loaders,PIN,,HVE,
GMX,Mexico,360,GPE Wheel Loaders,PIN,,HVE,
GMX,Mexico,380,Motor Graders,PIN,,HVE,
GMX,Mexico,390,Compaction Machines,PIN,,,
GMX,Mexico,410,Backhoe Loaders,PIN,,,
GMM,Myanmar,330,Articulated Haulers,DES,,HVE,
GMM,Myanmar,410,Backhoe Loaders,DES,,,
GMM,Myanmar,300,Compact Excavators,DES,,HVE,
GMM,Myanmar,350,Compact Wheel Loaders,DES,,HVE,
GMM,Myanmar,310,GPE Crawler Excavators,DES,,HVE,
GMM,Myanmar,320,GPE Wheel Excavators,DES,,HVE,
GMM,Myanmar,360,GPE Wheel Loaders,DES,,HVE,
GMM,Myanmar,380,Motor Graders,DES,,HVE,
GMM,Myanmar,390,Compaction Machines,DES,,,
GMM,Myanmar,340,Rigid Haulers,DES,,HVE,
GNL,Netherlands,300,Compact Excavators,OHR,,CEE,
GNL,Netherlands,310,GPE Crawler Excavators,OHR,,CEE,
GNL,Netherlands,320,GPE Wheel Excavators,OHR,,CEE,
GNL,Netherlands,330,Articulated Haulers,OHR,,CEE,
GNL,Netherlands,340,Rigid Haulers,OHR,,CEE,
GNL,Netherlands,350,Compact Wheel Loaders,OHR,,CEE,
GNL,Netherlands,360,GPE Wheel Loaders,OHR,,CEE,
GNL,Netherlands,380,Motor Graders,OHR,,CEE,
GNL,Netherlands,390,Compaction Machines,,,,
GNL,Netherlands,410,Backhoe Loaders,OHR,,,
GNO,Norway,300,Compact Excavators,OHR,,CEE,
GNO,Norway,310,GPE Crawler Excavators,OHR,,CEE,
GNO,Norway,320,GPE Wheel Excavators,OHR,,CEE,
GNO,Norway,330,Articulated Haulers,OHR,,CEE,
GNO,Norway,340,Rigid Haulers,OHR,,CEE,
GNO,Norway,350,Compact Wheel Loaders,OHR,,CEE,
GNO,Norway,360,GPE Wheel Loaders,OHR,,CEE,
GNO,Norway,380,Motor Graders,OHR,,CEE,
GNO,Norway,390,Compaction Machines,,,,
GNO,Norway,410,Backhoe Loaders,OHR,,,
GOM,Oman,300,Compact Excavators,DES,,HVE,
GOM,Oman,310,GPE Crawler Excavators,DES,,HVE,
GOM,Oman,320,GPE Wheel Excavators,DES,,HVE,
GOM,Oman,330,Articulated Haulers,DES,,HVE,
GOM,Oman,340,Rigid Haulers,DES,,HVE,
GOM,Oman,350,Compact Wheel Loaders,DES,,HVE,
GOM,Oman,360,GPE Wheel Loaders,DES,,HVE,
GOM,Oman,380,Motor Graders,DES,,HVE,
GOM,Oman,390,Compaction Machines,DES,,,
GOM,Oman,410,Backhoe Loaders,DES,,,
GPK,Pakistan,300,Compact Excavators,PIN,,HVE,
GPE,Peru,300,Compact Excavators,OHR,PIN,HVE,
GPE,Peru,310,GPE Crawler Excavators,OHR,PIN,HVE,
GPE,Peru,320,GPE Wheel Excavators,OHR,PIN,HVE,
GPE,Peru,330,Articulated Haulers,OHR,PIN,HVE,
GPE,Peru,340,Rigid Haulers,OHR,PIN,HVE,
GPE,Peru,350,Compact Wheel Loaders,OHR,PIN,HVE,
GPE,Peru,360,GPE Wheel Loaders,OHR,PIN,HVE,
GPE,Peru,380,Motor Graders,OHR,PIN,HVE,
GPE,Peru,390,Compaction Machines,PIN,PIN,,
GPE,Peru,410,Backhoe Loaders,OHR,PIN,,
GPH,Philippines,330,Articulated Haulers,DES,,HVE,
GPH,Philippines,410,Backhoe Loaders,DES,,,
GPH,Philippines,300,Compact Excavators,DES,,HVE,
GPH,Philippines,350,Compact Wheel Loaders,DES,,HVE,
GPH,Philippines,310,GPE Crawler Excavators,DES,,HVE,
GPH,Philippines,320,GPE Wheel Excavators,DES,,HVE,
GPH,Philippines,360,GPE Wheel Loaders,DES,,HVE,
GPH,Philippines,380,Motor Graders,DES,,HVE,
GPH,Philippines,390,Compaction Machines,DES,,,
GPH,Philippines,340,Rigid Haulers,DES,,HVE,
GPL,Poland,300,Compact Excavators,OHR,,CEE,
GPL,Poland,310,GPE Crawler Excavators,OHR,,CEE,
GPL,Poland,320,GPE Wheel Excavators,OHR,,CEE,
GPL,Poland,330,Articulated Haulers,OHR,,CEE,
GPL,Poland,340,Rigid Haulers,OHR,,CEE,
GPL,Poland,350,Compact Wheel Loaders,OHR,,CEE,
GPL,Poland,360,GPE Wheel Loaders,OHR,,CEE,
GPL,Poland,380,Motor Graders,OHR,,CEE,
GPL,Poland,390,Compaction Machines,,,,
GPL,Poland,410,Backhoe Loaders,OHR,,,
GPT,Portugal,300,Compact Excavators,OHR,,CEE,
GPT,Portugal,310,GPE Crawler Excavators,OHR,,CEE,
GPT,Portugal,320,GPE Wheel Excavators,OHR,,CEE,
GPT,Portugal,330,Articulated Haulers,OHR,,CEE,
GPT,Portugal,340,Rigid Haulers,OHR,,CEE,
GPT,Portugal,350,Compact Wheel Loaders,OHR,,CEE,
GPT,Portugal,360,GPE Wheel Loaders,OHR,,CEE,
GPT,Portugal,380,Motor Graders,OHR,,CEE,
GPT,Portugal,390,Compaction Machines,,,,
GPT,Portugal,410,Backhoe Loaders,OHR,,,
GQA,Qatar,300,Compact Excavators,DES,,HVE,
GQA,Qatar,310,GPE Crawler Excavators,DES,,HVE,
GQA,Qatar,320,GPE Wheel Excavators,DES,,HVE,
GQA,Qatar,330,Articulated Haulers,DES,,HVE,
GQA,Qatar,340,Rigid Haulers,DES,,HVE,
GQA,Qatar,350,Compact Wheel Loaders,DES,,HVE,
GQA,Qatar,360,GPE Wheel Loaders,DES,,HVE,
GQA,Qatar,380,Motor Graders,DES,,HVE,
GQA,Qatar,390,Compaction Machines,DES,,,
GQA,Qatar,410,Backhoe Loaders,DES,,,
GSA,Saudi Arabia,300,Compact Excavators,DES,,HVE,
GSA,Saudi Arabia,310,GPE Crawler Excavators,DES,,HVE,
GSA,Saudi Arabia,320,GPE Wheel Excavators,DES,,HVE,
GSA,Saudi Arabia,330,Articulated Haulers,DES,,HVE,
GSA,Saudi Arabia,340,Rigid Haulers,DES,,HVE,
GSA,Saudi Arabia,350,Compact Wheel Loaders,DES,,HVE,
GSA,Saudi Arabia,360,GPE Wheel Loaders,DES,,HVE,
GSA,Saudi Arabia,380,Motor Graders,DES,,HVE,
GSA,Saudi Arabia,390,Compaction Machines,DES,,,
GSA,Saudi Arabia,410,Backhoe Loaders,DES,,,
GSG,Singapore,330,Articulated Haulers,DES,,HVE,
GSG,Singapore,410,Backhoe Loaders,DES,,,
GSG,Singapore,300,Compact Excavators,DES,,HVE,
GSG,Singapore,350,Compact Wheel Loaders,DES,,HVE,
GSG,Singapore,390,Compaction Machines,DES,,,
GSG,Singapore,310,GPE Crawler Excavators,DES,,HVE,
GSG,Singapore,320,GPE Wheel Excavators,DES,,HVE,
GSG,Singapore,360,GPE Wheel Loaders,DES,,HVE,
GSG,Singapore,380,Motor Graders,DES,,HVE,
GSG,Singapore,340,Rigid Haulers,DES,,HVE,
GZA,South Africa,300,Compact Excavators,CMS,,HVE,
GZA,South Africa,310,GPE Crawler Excavators,CMS,,HVE,
GZA,South Africa,320,GPE Wheel Excavators,CMS,,HVE,
GZA,South Africa,330,Articulated Haulers,CMS,,HVE,
GZA,South Africa,340,Rigid Haulers,CMS,,HVE,
GZA,South Africa,350,Compact Wheel Loaders,CMS,,HVE,
GZA,South Africa,360,GPE Wheel Loaders,CMS,,HVE,
GZA,South Africa,380,Motor Graders,CMS,,HVE,
GZA,South Africa,390,Compaction Machines,CMS,,,
GZA,South Africa,410,Backhoe Loaders,CMS,,,
GKR,South Korea,300,Compact Excavators,KRA,,MOL,
GKR,South Korea,310,GPE Crawler Excavators,KRA,,MOL,
GKR,South Korea,320,GPE Wheel Excavators,KRA,,MOL,
GKR,South Korea,330,Articulated Haulers,KRA,,MOL,
GKR,South Korea,340,Rigid Haulers,KRA,,MOL,
GKR,South Korea,350,Compact Wheel Loaders,KRA,,HVE,
GKR,South Korea,360,GPE Wheel Loaders,KRA,,MOL,
