Calendar Year,Source,source_code,Machine Line,Artificial machine line,Machine Line Code,Brand,Brand Code
2024,CECE,CEE,Compact Excavators,CEX,CEX,Yanmar,YAN
2024,CECE,CEE,GPE Excavators Crawled,GEC,GEC,Yanmar,YAN
2024,CECE,CEE,Wheel Loaders,WLO,WLO,Yanmar,YAN
2024,CECE,CEE,GPE Excavators Wheeled,GEW,GEW,Yanmar,YAN
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Airman,AIR
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Airman,AIR
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Atlas Weyhausen,ATW
2024,HARGROVE,HVE,Articulated Haulers,Articulated Haulers,330,Bell,BEL
2024,HARGROVE,HVE,Motor Graders,Motor Graders,380,Bell,BEL
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Bell,BEL
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,Bobcat,BOB
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Bobcat,BOB
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Bobcat,BOB
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Bobcat,BOB
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,Case,CAS
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Case,CAS
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Case,CAS
2024,HARGROVE,HVE,Motor Graders,Motor Graders,380,Case,CAS
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Case,CAS
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,Caterpillar,CAT
2024,HARGROVE,HVE,Articulated Haulers,Articulated Haulers,330,Caterpillar,CAT
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Caterpillar,CAT
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Caterpillar,CAT
2024,HARGROVE,HVE,Rigid Haulers,Rigid Haulers,340,Caterpillar,CAT
2024,HARGROVE,HVE,Motor Graders,Motor Graders,380,Caterpillar,CAT
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Caterpillar,CAT
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Claas,CLA
