Year,Geographical Region,Geographical Market Area,End Country,End Country Code,Machine Family,Machine Line,Machine Line Code,Size Class,Size Class Mapping,Total Market FID Sales
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Wheel Loaders,360,WLC16<17,>12,319
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Wheel Loaders,360,WLC17<18,>12,2
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Wheel Loaders,360,WLC18<19,>12,8
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Wheel Loaders,360,WLC19<20,>12,0
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Wheel Loaders,360,WLC20<21,>12,1
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Wheel Loaders,360,WLC23<30,>12,2
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,Rigid Haulers,340,RH0<55,Rigid Haulers,8
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,Rigid Haulers,340,RH75<120,Rigid Haulers,72
2024,Region Asia,MA Asia East,Philippines,PH,Road Machinery Equipment,Compaction Machines,390,CR0<1.8,Compaction Machines,0
2024,Region Asia,MA Asia East,Philippines,PH,Road Machinery Equipment,Compaction Machines,390,CR1.8<3,Compaction Machines,0
2024,Region Asia,MA Asia East,Philippines,PH,Road Machinery Equipment,Compaction Machines,390,CR3<5,Compaction Machines,1
2024,Region Asia,MA Asia East,Philippines,PH,Road Machinery Equipment,Compaction Machines,390,PTR0<2.5,Compaction Machines,26
2024,Region Asia,MA Asia East,Philippines,PH,Road Machinery Equipment,Compaction Machines,390,PTR2.5+,Compaction Machines,25
2024,Region Asia,MA Asia East,Philippines,PH,Road Machinery Equipment,Compaction Machines,390,VS-SP8<12,Compaction Machines,2
2024,Region Asia,MA Asia East,Philippines,PH,Road Machinery Equipment,Compaction Machines,390,VS-SS0<5,Compaction Machines,10
2024,Region Asia,MA Asia East,Philippines,PH,Road Machinery Equipment,Compaction Machines,390,VS-SS12<15,Compaction Machines,98
2024,Region Asia,MA Asia East,Philippines,PH,Road Machinery Equipment,Compaction Machines,390,VS-SS15<19,Compaction Machines,8
2024,Region Asia,MA Asia East,Philippines,PH,Road Machinery Equipment,Compaction Machines,390,VS-SS19+,Compaction Machines,108
2024,Region Asia,MA Asia East,Philippines,PH,Road Machinery Equipment,Compaction Machines,390,VS-SS5<8,Compaction Machines,0
2024,Region Asia,MA Asia East,Philippines,PH,Road Machinery Equipment,Compaction Machines,390,VS-SS8<12,Compaction Machines,246
