Calendar Year,Region,Market Area,Country,Machine Line code,Machine Line,Size Class Flag,Brand Owner code,Brand Owner ,Brand,Brand Nationality,Source,FID
2024,Region Europe,MA SMT EU & Pat O'Donnell,Belgium,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,14
2024,Region Europe,MA SMT EU & Pat O'Donnell,Belgium,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,93
2024,Region Europe,MA SMT EU & Pat O'Donnell,Belgium,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,Volvo,Sweden,SAL,70
2024,Region Europe,MA SMT EU & Pat O'Donnell,Belgium,320,GPE Wheel Excavators,>11T,VCE,Volvo CE,Volvo,Sweden,SAL,23
2024,Region Europe,MA SMT EU & Pat O'Donnell,Belgium,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,19
2024,Region Europe,MA SMT EU & Pat O'Donnell,Belgium,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,2
2024,Region Europe,MA SMT EU & Pat O'Donnell,Belgium,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,11
2024,Region Europe,MA SMT EU & Pat O'Donnell,Belgium,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,96
2024,Region Europe,MA SMT EU & Pat O'Donnell,Ireland,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,3
2024,Region Europe,MA SMT EU & Pat O'Donnell,Ireland,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,13
2024,Region Europe,MA SMT EU & Pat O'Donnell,Ireland,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,Volvo,Sweden,SAL,39
2024,Region Europe,MA SMT EU & Pat O'Donnell,Ireland,320,GPE Wheel Excavators,>11T,VCE,Volvo CE,Volvo,Sweden,SAL,1
2024,Region Europe,MA SMT EU & Pat O'Donnell,Ireland,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,28
2024,Region Europe,MA SMT EU & Pat O'Donnell,Ireland,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,2
2024,Region Europe,MA SMT EU & Pat O'Donnell,Ireland,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,1
2024,Region Europe,MA SMT EU & Pat O'Donnell,Ireland,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,86
2024,Region Europe,MA SMT EU & Pat O'Donnell,Netherlands,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,14
2024,Region Europe,MA SMT EU & Pat O'Donnell,Netherlands,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,143
2024,Region Europe,MA SMT EU & Pat O'Donnell,Netherlands,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,Volvo,Sweden,SAL,71
2024,Region Europe,MA SMT EU & Pat O'Donnell,Netherlands,320,GPE Wheel Excavators,>11T,VCE,Volvo CE,Volvo,Sweden,SAL,79
2024,Region Europe,MA SMT EU & Pat O'Donnell,Netherlands,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,14
2024,Region Europe,MA SMT EU & Pat O'Donnell,Netherlands,350,Compact Wheel Loaders,<7,VCE,Volvo CE,Volvo,Sweden,SAL,1
2024,Region Europe,MA SMT EU & Pat O'Donnell,Netherlands,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,13
2024,Region Europe,MA SMT EU & Pat O'Donnell,Netherlands,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,34
2024,Region Europe,MA SMT EU & Pat O'Donnell,Netherlands,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,237
2024,Region Europe,MA SMT EU & Pat O'Donnell,United Kingdom,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,102
2024,Region Europe,MA SMT EU & Pat O'Donnell,United Kingdom,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,246
2024,Region Europe,MA SMT EU & Pat O'Donnell,United Kingdom,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,Volvo,Sweden,SAL,382
2024,Region Europe,MA SMT EU & Pat O'Donnell,United Kingdom,320,GPE Wheel Excavators,>11T,VCE,Volvo CE,Volvo,Sweden,SAL,31
2024,Region Europe,MA SMT EU & Pat O'Donnell,United Kingdom,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Rokbak,United Kingdom,SAL,6
2024,Region Europe,MA SMT EU & Pat O'Donnell,United Kingdom,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,223
2024,Region Europe,MA SMT EU & Pat O'Donnell,United Kingdom,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,13
2024,Region Europe,MA SMT EU & Pat O'Donnell,United Kingdom,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,3
2024,Region Europe,MA SMT EU & Pat O'Donnell,United Kingdom,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,282
2024,Region Europe,MA Swecon & Robert Aebi,Germany,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,39
2024,Region Europe,MA Swecon & Robert Aebi,Germany,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,311
