Calendar Year,Region,Market Area,Country,Machine Line code,Machine Line,Size Class Flag,Brand Owner code,Brand Owner ,Brand,Brand Nationality,Source,FID
2023,Region Europe,"MA ASC EU, IL & Balkan",Portugal,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,33
2023,Region Europe,"MA ASC EU, IL & Balkan",Spain,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,17
2023,Region Europe,"MA ASC EU, IL & Balkan",Spain,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,57
2023,Region Europe,"MA ASC EU, IL & Balkan",Spain,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,Volvo,Sweden,SAL,41
2023,Region Europe,"MA ASC EU, IL & Balkan",Spain,320,GPE Wheel Excavators,>11t,VCE,Volvo CE,Volvo,Sweden,SAL,29
2023,Region Europe,"MA ASC EU, IL & Balkan",Spain,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,16
2023,Region Europe,"MA ASC EU, IL & Balkan",Spain,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,31
2023,Region Europe,"MA ASC EU, IL & Balkan",Spain,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,2
2023,Region Europe,"MA ASC EU, IL & Balkan",Spain,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,129
2023,Region Europe,MA France,France,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,118
2023,Region Europe,MA France,France,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,648
2023,Region Europe,MA France,France,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,Volvo,Sweden,SAL,334
2023,Region Europe,MA France,France,320,GPE Wheel Excavators,>11t,VCE,Volvo CE,Volvo,Sweden,SAL,261
2023,Region Europe,MA France,France,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,161
2023,Region Europe,MA France,France,350,Compact Wheel Loaders,<7,VCE,Volvo CE,Volvo,Sweden,SAL,1
2023,Region Europe,MA France,France,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,23
2023,Region Europe,MA France,France,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,235
2023,Region Europe,MA France,France,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,321
2023,Region Europe,MA SMT EU & Pat O'Donnell,Belgium,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,9
2023,Region Europe,MA SMT EU & Pat O'Donnell,Belgium,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,135
2023,Region Europe,MA SMT EU & Pat O'Donnell,Belgium,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,Volvo,Sweden,SAL,111
2023,Region Europe,MA SMT EU & Pat O'Donnell,Belgium,320,GPE Wheel Excavators,>11t,VCE,Volvo CE,Volvo,Sweden,SAL,35
2023,Region Europe,MA SMT EU & Pat O'Donnell,Belgium,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,45
2023,Region Europe,MA SMT EU & Pat O'Donnell,Belgium,350,Compact Wheel Loaders,<7,VCE,Volvo CE,Volvo,Sweden,SAL,1
2023,Region Europe,MA SMT EU & Pat O'Donnell,Belgium,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,5
2023,Region Europe,MA SMT EU & Pat O'Donnell,Belgium,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,11
2023,Region Europe,MA SMT EU & Pat O'Donnell,Belgium,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,117
2023,Region Europe,MA SMT EU & Pat O'Donnell,Ireland,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,2
2023,Region Europe,MA SMT EU & Pat O'Donnell,Ireland,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,28
2023,Region Europe,MA SMT EU & Pat O'Donnell,Ireland,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,Volvo,Sweden,SAL,35
2023,Region Europe,MA SMT EU & Pat O'Donnell,Ireland,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Rokbak,United Kingdom,SAL,1
2023,Region Europe,MA SMT EU & Pat O'Donnell,Ireland,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,10
2023,Region Europe,MA SMT EU & Pat O'Donnell,Ireland,340,Rigid Haulers,Rigid Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,1
2023,Region Europe,MA SMT EU & Pat O'Donnell,Ireland,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,4
2023,Region Europe,MA SMT EU & Pat O'Donnell,Ireland,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,47
2023,Region Europe,MA SMT EU & Pat O'Donnell,Netherlands,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,11
2023,Region Europe,MA SMT EU & Pat O'Donnell,Netherlands,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,145
